LocalDateTime,Open,High,Low,Close,Volume
28-05-2025 09:15:00,214.4,214.5,214,214.19,2884
28-05-2025 09:16:00,214.57,214.57,214,214.21,4555
28-05-2025 09:17:00,214.01,214.34,214.01,214.34,6717
28-05-2025 09:18:00,214.36,214.53,214,214.46,9453
28-05-2025 09:19:00,214.56,214.56,213.46,213.46,10547
28-05-2025 09:20:00,213.5,214.68,213.5,214.68,11608
28-05-2025 09:21:00,214.54,214.54,214.31,214.31,12121
28-05-2025 09:22:00,214.25,214.53,214.1,214.1,16340
28-05-2025 09:23:00,214.12,214.41,214.12,214.41,20177
28-05-2025 09:24:00,214.69,214.69,213.8,213.8,23526
28-05-2025 09:25:00,213.93,214.1,213.86,214.02,23985
28-05-2025 09:26:00,213.9,214.25,213.9,214.07,28626
28-05-2025 09:27:00,214.49,214.49,213.5,213.5,30576
28-05-2025 09:28:00,213.69,213.89,213.61,213.89,31627
28-05-2025 09:29:00,214.09,214.2,214.09,214.2,32982
28-05-2025 09:30:00,213.85,214.45,213.85,214.45,34299
28-05-2025 09:31:00,214.5,215.39,214.5,215.39,36573
28-05-2025 09:32:00,215.06,215.87,215.06,215.87,42819
28-05-2025 09:33:00,215.76,216.32,215.75,216.25,48504
28-05-2025 09:34:00,216.01,216.25,215.8,215.8,49539
28-05-2025 09:35:00,215.31,215.68,215.31,215.63,51907
28-05-2025 09:36:00,215.7,216,215.63,216,56456
28-05-2025 09:37:00,215.51,215.63,215.4,215.4,59032
28-05-2025 09:38:00,215.13,215.42,215.13,215.42,61399
28-05-2025 09:39:00,215.05,215.05,214.86,214.86,63211
28-05-2025 09:40:00,215.35,215.41,214.8,214.8,64586
28-05-2025 09:41:00,214.75,214.75,214.69,214.69,64960
28-05-2025 09:42:00,214.78,214.78,214.78,214.78,65510
28-05-2025 09:43:00,214.66,214.66,214.39,214.4,65717
28-05-2025 09:44:00,214.64,214.64,214.23,214.4,67184
28-05-2025 09:45:00,214.75,214.75,214,214.05,70653
28-05-2025 09:46:00,214.04,214.04,213.69,213.69,72617
28-05-2025 09:47:00,214,214.5,214,214.3,74249
28-05-2025 09:48:00,214.01,214.01,214.01,214.01,0
28-05-2025 09:49:00,213.98,213.98,213.72,213.72,77670
28-05-2025 09:50:00,213.91,213.96,213.6,213.6,80928
28-05-2025 09:51:00,213.61,213.61,213.61,213.61,81378
28-05-2025 09:52:00,213.62,213.62,213.03,213.39,88137
28-05-2025 09:53:00,212.82,213.05,212.82,213.04,92325
