LocalDateTime,Open,High,Low,Close,Volume
28-04-2025 09:15:00,226,231.94,225.51,229,54446554
28-04-2025 09:30:00,228.99,229.99,227,227.45,84927376
28-04-2025 09:45:00,227.36,228.32,227.3,227.79,102461452
28-04-2025 10:00:00,227.75,228.8,227.1,228.14,112257698
28-04-2025 10:15:00,228.04,228.09,225.31,226.45,125657604
28-04-2025 10:30:00,226.5,226.5,225.52,225.55,138838447
28-04-2025 10:45:00,225.57,226.76,225.5,226,147619410
28-04-2025 11:00:00,226.14,227.2,225.99,226.57,159726278
28-04-2025 11:15:00,226.59,226.75,225.92,226.38,169495651
28-04-2025 11:30:00,226.45,227.19,226.22,227.12,186150401
28-04-2025 11:45:00,227.16,227.2,226.52,226.54,197658023
28-04-2025 12:00:00,226.59,227,226.52,226.93,207846690
28-04-2025 12:15:00,226.97,227.48,226.48,227.04,225660940
28-04-2025 12:30:00,227.11,227.58,226.86,227.5,242773545
28-04-2025 12:45:00,227.58,228,227.31,227.39,261224614
28-04-2025 13:00:00,227.38,228,227.26,227.83,273603192
28-04-2025 13:15:00,227.9,228.04,227.22,227.46,286587377
28-04-2025 13:30:00,227.37,228.05,227.15,227.56,297301153
28-04-2025 13:45:00,227.54,227.9,227.29,227.62,306957802
28-04-2025 14:00:00,227.65,228.15,227.58,228.08,317376272
28-04-2025 14:15:00,228.06,228.2,227.75,228,329885851
28-04-2025 14:30:00,228.06,228.2,226.7,226.96,342064486
28-04-2025 14:45:00,227,227.95,226.95,227.75,356657577
28-04-2025 15:00:00,227.81,227.85,226.65,227.5,379226475
28-04-2025 15:15:00,227.52,227.68,226.3,226.66,417222382
