LocalDateTime,Open,High,Low,Close,Volume
03-06-2025 09:10:00,245,245.77,242.87,244.27,17472885
03-06-2025 09:20:00,244.25,244.47,243,243.92,71111616
03-06-2025 09:30:00,243.75,244,241.55,241.7,106338388
03-06-2025 09:40:00,241.69,243,240.62,243,148110909
03-06-2025 09:50:00,242.99,244,242.99,243.79,187217322
03-06-2025 10:00:00,243.72,244.79,243.6,244,218394043
03-06-2025 10:10:00,243.99,244.01,243.2,243.5,253562849
03-06-2025 10:20:00,243.48,244.1,242.81,242.99,285057832
03-06-2025 10:30:00,242.98,243.08,241.85,241.99,307514974
03-06-2025 10:40:00,241.98,242.46,241.32,241.56,327992133
03-06-2025 10:50:00,241.5,241.57,241.03,241.26,345826448
03-06-2025 11:00:00,241.25,241.4,239.75,239.75,366021989
03-06-2025 11:10:00,239.77,240,238.8,239.6,395874656
03-06-2025 11:20:00,239.61,239.99,239.22,239.85,409464845
03-06-2025 11:30:00,239.93,240.48,239.6,239.89,421427616
03-06-2025 11:40:00,239.9,240.7,239.57,240.6,433000425
03-06-2025 11:50:00,240.56,240.94,240.39,240.85,443693108
03-06-2025 12:00:00,240.86,241.75,240.71,241.6,456371507
03-06-2025 12:10:00,241.62,241.62,240.51,241.16,470472565
03-06-2025 12:20:00,241.09,241.09,240.21,240.99,480122625
03-06-2025 12:30:00,241,241.5,240.8,241.03,488730000
03-06-2025 12:40:00,240.98,241.03,240.3,240.38,495294612
03-06-2025 12:50:00,240.41,240.41,239.3,239.37,506441045
03-06-2025 13:00:00,239.25,239.87,239.15,239.37,516984326
03-06-2025 13:10:00,239.35,240.22,239.31,239.9,528111989
03-06-2025 13:20:00,239.88,240.34,239.53,239.94,541190962
03-06-2025 13:30:00,239.9,240.49,239.88,240.36,550619029
03-06-2025 13:40:00,240.35,240.46,239.89,239.95,558321068
03-06-2025 13:50:00,239.9,240.01,239.71,240,570635701
03-06-2025 14:00:00,239.98,240.2,239.8,239.91,594223649
03-06-2025 14:10:00,239.98,240,239.3,239.66,617419323
03-06-2025 14:20:00,239.65,239.87,238.76,239.25,644469334
03-06-2025 14:30:00,239.3,239.53,238.87,239.41,668821826
03-06-2025 14:40:00,239.4,239.59,239.06,239.13,683037650
03-06-2025 14:50:00,239.12,239.72,238.15,239.64,703226737
03-06-2025 15:00:00,239.44,239.57,237.68,238,752185388
03-06-2025 15:10:00,237.99,238.14,236.89,237.41,827016519
03-06-2025 15:20:00,237.5,238.7,236.95,238.3,904226815
