LocalDateTime,Open,High,Low,Close,Volume
04-06-2025 09:15:00,182.9,182.9,181.9,182,3298
04-06-2025 09:16:00,181.66,181.91,180.26,180.26,8434
04-06-2025 09:17:00,180,180.79,180,180.79,10152
04-06-2025 09:18:00,181.08,181.2,181.01,181.2,10772
04-06-2025 09:19:00,181.91,182,180.93,181.84,16868
04-06-2025 09:20:00,182,182,181.1,181.1,18596
04-06-2025 09:21:00,180.95,180.95,180.95,180.95,18815
04-06-2025 09:22:00,180.74,181.02,180.74,181.02,19066
04-06-2025 09:24:00,180.72,181.02,180.72,181.02,19196
04-06-2025 09:25:00,180.51,180.51,180.46,180.46,19867
04-06-2025 09:26:00,180.33,180.33,180.33,180.33,20587
04-06-2025 09:27:00,180.56,180.8,180.49,180.49,23228
04-06-2025 09:28:00,180.18,180.49,180.18,180.18,25977
04-06-2025 09:29:00,179.5,179.5,179.19,179.37,26876
04-06-2025 09:30:00,179.5,179.5,179.01,179.02,27584
04-06-2025 09:31:00,179.47,180,179.47,180,27835
04-06-2025 09:32:00,179.77,179.9,179.67,179.67,29420
04-06-2025 09:33:00,179.76,180.05,179.7,179.7,31398
04-06-2025 09:34:00,179.28,179.6,179.28,179.6,32362
04-06-2025 09:35:00,180,180,179.64,179.64,34458
04-06-2025 09:36:00,179.59,180.17,179.5,180.17,35639
04-06-2025 09:38:00,179.87,179.87,179.8,179.8,37031
04-06-2025 09:39:00,179.57,179.57,179.57,179.57,37043
04-06-2025 09:40:00,179.68,179.68,179.5,179.5,37315
04-06-2025 09:41:00,179.49,179.49,179.49,179.49,0
04-06-2025 09:42:00,179.49,179.49,179.49,179.49,37632
04-06-2025 09:43:00,179.2,179.2,179.2,179.2,38182
04-06-2025 09:44:00,179.38,179.38,179.2,179.2,38333
04-06-2025 09:45:00,179.04,179.35,179,179.22,46245
04-06-2025 09:46:00,179,180.18,179,179.41,47610
04-06-2025 09:49:00,179.45,179.45,179.45,179.45,47665
04-06-2025 09:54:00,179.1,179.1,179.1,179.1,48265
04-06-2025 09:55:00,179.45,179.46,179.45,179.46,48662
