LocalDateTime,Open,High,Low,Close,Volume
06-06-2025 09:15:00,256.56,258,256.56,257.56,1797240
06-06-2025 09:16:00,257.63,257.99,257.5,257.59,2371606
06-06-2025 09:17:00,257.49,257.59,256.97,257.59,2968684
06-06-2025 09:18:00,257.57,257.6,256.59,256.66,3347253
06-06-2025 09:19:00,256.61,257.25,256.2,257.15,3705507
06-06-2025 09:20:00,257.14,257.37,256.8,257.15,3997436
06-06-2025 09:21:00,257.16,258.18,257.08,257.74,4001537
06-06-2025 09:22:00,257.56,258.15,257.56,257.95,4901821
06-06-2025 09:23:00,257.94,258.18,257.78,258.07,5227909
06-06-2025 09:24:00,258.08,258.25,257.73,257.81,5567762
06-06-2025 09:25:00,257.77,257.81,257.24,257.25,5794701
06-06-2025 09:26:00,257.26,257.73,257.12,257.59,6109236
06-06-2025 09:27:00,257.64,257.83,257.21,257.22,6272186
06-06-2025 09:28:00,257.24,257.44,256.9,256.9,6579811
06-06-2025 09:29:00,256.92,257.24,256.84,257.01,6798597
06-06-2025 09:30:00,257.04,257.1,256.78,256.79,7011603
06-06-2025 09:31:00,256.96,257.79,256.96,257.62,7333183
06-06-2025 09:32:00,257.68,257.74,257.5,257.67,7523341
06-06-2025 09:33:00,257.64,258,257.6,257.9,7755984
06-06-2025 09:34:00,258.1,258.2,257.67,257.93,8136849
06-06-2025 09:35:00,257.94,258.2,257.69,258.19,8401130
06-06-2025 09:36:00,258.14,258.24,257.5,257.5,8652471
06-06-2025 09:37:00,257.51,257.68,257.31,257.5,8813096
06-06-2025 09:38:00,257.49,257.78,257.39,257.39,8952313
06-06-2025 09:39:00,257.36,257.45,257.33,257.35,9062643
06-06-2025 09:40:00,257.33,257.36,257,257.05,9308134
06-06-2025 09:41:00,257.04,257.9,257.04,257.71,9457403
06-06-2025 09:42:00,257.7,257.9,257.61,257.89,9610170
06-06-2025 09:43:00,257.86,257.9,257.69,257.86,9735171
06-06-2025 09:44:00,257.83,258.11,257.8,258,9906674
06-06-2025 09:45:00,257.98,258.8,257.92,258.34,10392920
06-06-2025 09:46:00,258.3,258.56,258.25,258.51,10568272
06-06-2025 09:47:00,258.55,258.7,258.42,258.65,10787953
06-06-2025 09:48:00,258.64,258.8,258.59,258.77,11004712
06-06-2025 09:49:00,258.76,258.76,258.51,258.6,11175418
06-06-2025 09:50:00,258.61,258.84,258.54,258.79,11394163
