LocalDateTime,Open,High,Low,Close,Volume
09-05-2025 09:15:00,170.2,173.7,170.2,173.68,5318
09-05-2025 09:16:00,172.85,172.85,171.69,171.81,7802
09-05-2025 09:17:00,172.59,174,172.59,174,12297
09-05-2025 09:18:00,174,174.55,174,174.55,13752
09-05-2025 09:19:00,174.55,175.04,174.36,174.8,21865
09-05-2025 09:20:00,174.84,176.09,174.81,176.09,24475
09-05-2025 09:21:00,176.09,176.09,175.25,175.69,33720
09-05-2025 09:22:00,175.5,176.01,174.63,174.65,41250
09-05-2025 09:23:00,174.65,174.65,174.4,174.4,41972
09-05-2025 09:24:00,174.4,174.4,173.13,173.13,43125
09-05-2025 09:25:00,173.31,174,173.31,174,46154
09-05-2025 09:26:00,174.32,174.72,173.86,173.86,47507
09-05-2025 09:27:00,174,174.55,174,174.49,48291
09-05-2025 09:28:00,174.49,174.5,173.18,173.18,49442
09-05-2025 09:29:00,173.5,173.53,172.9,172.97,49971
09-05-2025 09:30:00,172.97,172.97,172.57,172.85,50755
09-05-2025 09:31:00,172.85,174.05,172.85,173.99,51221
09-05-2025 09:32:00,173.99,174.5,173.99,174.5,52601
09-05-2025 09:33:00,174,174,173.16,173.25,52986
09-05-2025 09:34:00,173.54,174,173.5,173.61,55510
09-05-2025 09:35:00,173.61,174.05,173.51,174.05,56525
09-05-2025 09:36:00,174.1,175.5,174.1,175.43,59638
09-05-2025 09:37:00,175.5,176.23,175.5,176.05,64070
09-05-2025 09:38:00,175.42,176.42,175.42,176.42,65872
09-05-2025 09:39:00,176.56,176.56,175.48,175.76,67633
09-05-2025 09:40:00,175.52,176.79,175.52,176.79,68602
09-05-2025 09:41:00,176.79,177.8,176.79,177.7,74434
09-05-2025 09:42:00,177.8,179,177.8,179,84435
09-05-2025 09:43:00,179,179.03,178.23,178.3,92009
09-05-2025 09:44:00,178.3,178.95,178.1,178.4,93147
09-05-2025 09:45:00,178.11,178.59,177.11,177.11,97483
09-05-2025 09:46:00,177.11,177.35,177.01,177.35,98598
09-05-2025 09:47:00,177.35,178.2,177.35,178,100728
09-05-2025 09:48:00,177.51,178.2,177.49,178.2,104237
09-05-2025 09:49:00,178.2,178.24,177.96,178.24,104595
09-05-2025 09:50:00,178.24,178.5,177.9,177.9,118679
09-05-2025 09:51:00,177.9,178.32,177.9,178,120940
09-05-2025 09:52:00,177.72,178.75,177.72,177.91,124027
09-05-2025 09:53:00,178.21,179.49,178.21,179.49,127636
09-05-2025 09:54:00,179.49,179.7,178.38,178.38,130609
09-05-2025 09:55:00,178.24,178.24,177.64,178,131592
09-05-2025 09:56:00,178.22,178.38,177.79,178.38,132715
09-05-2025 09:57:00,177.68,177.74,177.68,177.73,132779
09-05-2025 09:58:00,177.73,177.74,177.03,177.06,133277
09-05-2025 09:59:00,177.06,177.66,177.03,177.66,135302
09-05-2025 10:00:00,177.66,177.66,177.01,177.07,135434
09-05-2025 10:01:00,177.07,177.07,176.51,176.51,135972
09-05-2025 10:02:00,176.51,177.5,176.51,176.92,138340
09-05-2025 10:03:00,177,177,176.64,176.64,140662
09-05-2025 10:04:00,176.69,176.89,176.6,176.6,141302
09-05-2025 10:05:00,176.99,176.99,176.41,176.41,142547
09-05-2025 10:06:00,176.41,176.7,176.41,176.6,142986
09-05-2025 10:07:00,176.6,177.5,176.6,177.46,143903
09-05-2025 10:08:00,177.46,178.72,177.46,177.71,147917
09-05-2025 10:09:00,177.71,177.89,177.01,177.13,150425
09-05-2025 10:10:00,177.13,177.3,177.03,177.3,150695
09-05-2025 10:11:00,177.72,177.78,177.72,177.78,151176
09-05-2025 10:12:00,177.78,178.51,177.78,178.16,155296
09-05-2025 10:13:00,178,178.39,177.96,178.39,156119
09-05-2025 10:14:00,178.39,178.51,178.05,178.4,157316
09-05-2025 10:15:00,178.06,178.06,178.06,178.06,157816
09-05-2025 10:16:00,178.06,178.06,177.64,177.64,158056
09-05-2025 10:17:00,177.64,177.9,177.39,177.87,158636
