LocalDateTime,Open,High,Low,Close,Volume
19-03-2025 09:15:00,177.4,177.4,177.01,177.01,172
19-03-2025 09:16:00,177.18,180.79,177.18,180,8925
19-03-2025 09:17:00,179.95,179.95,178.25,178.25,9603
19-03-2025 09:18:00,179.5,179.8,179.5,179.53,11028
19-03-2025 09:19:00,180,180.89,180,180.35,13812
19-03-2025 09:20:00,180,180,179.02,179.24,14178
19-03-2025 09:21:00,179.52,180.27,179.5,180.27,15935
19-03-2025 09:22:00,179.71,179.99,179.71,179.99,16227
19-03-2025 09:23:00,180.5,181.65,180.5,181.65,18720
19-03-2025 09:24:00,181.7,181.7,180.4,180.4,20452
19-03-2025 09:25:00,180,180.07,180,180.07,22256
19-03-2025 09:26:00,179.65,179.65,179.62,179.62,22368
19-03-2025 09:27:00,179.6,180.59,179.43,180.59,22895
19-03-2025 09:28:00,180,180,180,180,23966
19-03-2025 09:29:00,180.89,180.89,180,180.77,25027
19-03-2025 09:30:00,181.3,181.58,181.24,181.24,28958
19-03-2025 09:31:00,181.3,181.6,180.43,180.43,35943
19-03-2025 09:32:00,180.3,180.75,180.14,180.39,38013
19-03-2025 09:33:00,180.37,180.38,180.37,180.38,38049
19-03-2025 09:34:00,180.13,180.36,180.13,180.34,38248
19-03-2025 09:35:00,180.37,180.42,180.37,180.42,38835
19-03-2025 09:36:00,180.68,180.7,180.68,180.7,39077
19-03-2025 09:37:00,180.99,180.99,180.99,180.99,39516
19-03-2025 09:38:00,181,181,180.43,180.43,40870
19-03-2025 09:39:00,180.5,180.5,180.42,180.42,41000
19-03-2025 09:40:00,179.98,180.05,179.97,179.98,42258
19-03-2025 09:41:00,179.97,180,179.66,179.66,44138
19-03-2025 09:42:00,179.28,179.28,179.06,179.06,45038
19-03-2025 09:43:00,179.46,179.46,179.46,179.46,45042
19-03-2025 09:44:00,179.34,179.91,179.34,179.91,45493
19-03-2025 09:45:00,179.77,179.8,179.77,179.8,45690
19-03-2025 09:46:00,179.51,179.51,179.51,179.51,45891
19-03-2025 09:47:00,179.5,179.7,179.5,179.7,45991
19-03-2025 09:48:00,179.7,179.7,179.7,179.7,46091
19-03-2025 09:49:00,179.41,179.41,179.41,179.41,46251
19-03-2025 09:50:00,179.4,179.4,179.4,179.4,46551
19-03-2025 09:51:00,179.59,179.59,179.19,179.19,47017
19-03-2025 09:52:00,179.23,179.25,179.21,179.21,47385
19-03-2025 09:53:00,179.25,179.65,179.25,179.65,48012
19-03-2025 09:54:00,179.7,179.7,179.7,179.7,48412
19-03-2025 09:55:00,179.74,179.91,179.7,179.89,50529
19-03-2025 09:56:00,179.9,179.99,179.7,179.7,51176
19-03-2025 09:57:00,179.65,179.65,179.65,179.65,0
19-03-2025 09:58:00,179.85,179.85,179.85,179.85,52331
19-03-2025 09:59:00,179.67,179.67,179.67,179.67,52341
19-03-2025 10:00:00,179.84,179.99,179.84,179.99,53124
19-03-2025 10:01:00,179.9,180.32,179.9,180.32,66582
19-03-2025 10:02:00,180.7,180.7,180.5,180.5,66681
19-03-2025 10:03:00,180.4,180.4,179.7,179.7,67445
19-03-2025 10:04:00,179.65,179.65,179.27,179.27,68540
19-03-2025 10:05:00,179.5,179.5,179.5,179.5,68565
19-03-2025 10:06:00,179.55,179.63,179.55,179.63,69044
19-03-2025 10:07:00,179.6,179.65,179,179,75277
19-03-2025 10:08:00,179,179,179,179,76688
19-03-2025 10:09:00,178.93,178.93,178.93,178.93,76842
19-03-2025 10:10:00,178.55,178.55,178.27,178.27,78904
19-03-2025 10:11:00,178.05,178.05,178.01,178.01,80412
19-03-2025 10:12:00,178.59,179,178.55,178.55,82613
19-03-2025 10:14:00,178.95,178.95,178.63,178.93,83303
19-03-2025 10:18:00,178.95,179.1,178.95,179.1,84228
19-03-2025 10:19:00,179.09,179.09,178.91,179,85435
19-03-2025 10:20:00,179.08,179.08,179.08,179.08,85472
19-03-2025 10:22:00,179.06,179.39,179.06,179.39,86368
19-03-2025 10:23:00,179.35,179.35,178.81,179,88215
19-03-2025 10:25:00,179.05,179.17,179.05,179.17,88811
19-03-2025 10:26:00,179.43,179.6,179.43,179.47,91358
19-03-2025 10:27:00,179.4,179.4,179.05,179.05,92141
19-03-2025 10:28:00,178.85,178.85,178.85,178.85,92641
19-03-2025 10:29:00,179.05,179.15,179.05,179.15,93588
19-03-2025 10:30:00,179.34,179.34,179.34,179.34,93895
19-03-2025 10:31:00,179.18,179.18,179,179.05,94732
19-03-2025 10:32:00,179.3,179.3,179.05,179.05,94832
