LocalDateTime,Open,High,Low,Close,Volume
23-04-2025 09:15:00,237.48,240.05,237.48,238.16,9968326
23-04-2025 09:20:00,238.19,238.45,237.5,237.99,17342917
23-04-2025 09:25:00,238,238.87,237.81,237.81,21686435
23-04-2025 09:30:00,237.8,237.87,236,236.14,26878679
23-04-2025 09:35:00,236.11,236.61,235.01,235.44,33170527
23-04-2025 09:40:00,235.36,236.56,235.06,236.24,37244914
23-04-2025 09:45:00,236.32,237.24,236.31,236.85,40109951
23-04-2025 09:50:00,236.8,236.83,236.06,236.36,42595987
23-04-2025 09:55:00,236.37,236.4,235.58,236.24,44995660
23-04-2025 10:00:00,236.2,237.15,236.2,236.5,47314856
23-04-2025 10:05:00,236.45,236.48,235.75,235.77,49662723
23-04-2025 10:10:00,235.84,236.11,234.8,234.88,51802180
23-04-2025 10:15:00,235,235.72,234.63,235.55,55086596
23-04-2025 10:20:00,235.6,235.8,234.7,235.18,56916813
23-04-2025 10:25:00,235.13,235.48,234.83,235.3,58867989
23-04-2025 10:30:00,235.31,235.95,235.12,235.5,60988829
23-04-2025 10:35:00,235.56,235.56,234.52,235.06,63167242
23-04-2025 10:40:00,235.14,235.34,234.1,234.11,65258892
23-04-2025 10:45:00,234.15,234.4,233.25,233.3,69427106
23-04-2025 10:50:00,233.29,234,233.26,233.35,73401160
23-04-2025 10:55:00,233.36,234.2,233.05,234.12,76909328
23-04-2025 11:00:00,234.14,235.24,234.12,234.7,81800621
23-04-2025 11:05:00,234.72,235.7,234.72,235.58,86667004
23-04-2025 11:10:00,235.61,236.37,235.51,236.11,90420381
23-04-2025 11:15:00,236.1,236.47,235.68,236.12,93877314
23-04-2025 11:20:00,236.2,236.4,235.73,235.9,95567076
23-04-2025 11:25:00,235.91,236.8,235.91,236.25,97916219
23-04-2025 11:30:00,236.3,236.38,236,236.05,99743138
23-04-2025 11:35:00,236.06,236.3,235.8,236.2,101313992
23-04-2025 11:40:00,236.22,236.9,236.03,236.86,102900661
23-04-2025 11:45:00,236.82,237.2,236.7,237.05,105820361
23-04-2025 11:50:00,237.04,237.06,236.34,236.64,107981004
23-04-2025 11:55:00,236.63,236.98,236.56,236.7,109777742
23-04-2025 12:00:00,236.71,237.5,236.7,237.5,111293902
23-04-2025 12:05:00,237.52,237.67,236.93,237.3,114603822
23-04-2025 12:10:00,237.36,237.66,237.14,237.55,116198163
23-04-2025 12:15:00,237.56,237.6,237.18,237.2,117868361
23-04-2025 12:20:00,237.28,237.28,236.61,236.8,120075465
23-04-2025 12:25:00,236.92,237.66,236.88,237.4,122231968
23-04-2025 12:30:00,237.45,238,237.45,237.93,124781032
23-04-2025 12:35:00,237.94,238,237.24,237.51,127234741
23-04-2025 12:40:00,237.54,238.15,237.54,237.99,129063966
23-04-2025 12:45:00,238.07,239.14,237.9,239,132365015
23-04-2025 12:50:00,239.03,239.35,238.77,239.03,136867333
23-04-2025 12:55:00,239.04,239.2,239,239.09,139051860
23-04-2025 13:00:00,239,239.65,239,239.36,141692319
23-04-2025 13:05:00,239.38,239.58,239.19,239.37,144117220
23-04-2025 13:10:00,239.38,239.84,239.15,239.71,146170289
23-04-2025 13:15:00,239.73,239.73,239,239.11,149270030
23-04-2025 13:20:00,239.12,239.4,239.07,239.39,151001999
23-04-2025 13:25:00,239.4,239.4,238.4,238.51,152782227
23-04-2025 13:30:00,238.52,238.69,238.1,238.1,155391962
23-04-2025 13:35:00,238.11,238.7,238.1,238.6,157480362
23-04-2025 13:40:00,238.61,238.77,238.3,238.35,158951317
23-04-2025 13:45:00,238.38,238.68,238.35,238.56,160274119
23-04-2025 13:50:00,238.58,239,238.58,238.82,161741499
23-04-2025 13:55:00,238.83,239,238.72,239,163232612
23-04-2025 14:00:00,239.02,239.05,238.4,238.65,164875047
23-04-2025 14:05:00,238.54,238.99,238.54,238.94,166193906
23-04-2025 14:10:00,238.95,239.2,238.8,239.19,167483912
23-04-2025 14:15:00,239.2,239.35,238.93,239.15,169353020
23-04-2025 14:20:00,239.14,239.2,238.85,239.06,170806887
23-04-2025 14:25:00,239.08,239.08,238.33,238.61,172496637
23-04-2025 14:30:00,238.68,238.99,238.58,238.91,174146313
23-04-2025 14:35:00,238.89,238.93,238.6,238.8,175477180
23-04-2025 14:40:00,238.76,238.83,238.31,238.48,177291185
23-04-2025 14:45:00,238.49,238.5,238.2,238.39,179156576
23-04-2025 14:50:00,238.41,238.79,238.41,238.61,181607754
23-04-2025 14:55:00,238.63,239,238.61,238.9,184151168
23-04-2025 15:00:00,239,239.74,239,239.74,188418993
23-04-2025 15:05:00,239.68,239.75,239.31,239.31,192216927
23-04-2025 15:10:00,239.58,239.72,239.1,239.24,197110450
23-04-2025 15:15:00,239.19,239.34,238.7,239.16,201779345
23-04-2025 15:20:00,239.11,239.44,238.74,239.04,206323061
23-04-2025 15:25:00,239.05,239.25,238.1,238.15,210277538
