LocalDateTime,Open,High,Low,Close,Volume
30-04-2025 09:15:00,195,195,192.9,193.25,7857
30-04-2025 09:16:00,193.1,193.1,189.79,190.9,13975
30-04-2025 09:17:00,189.79,190.3,189.18,190.17,17652
30-04-2025 09:18:00,190.5,190.86,190.25,190.78,20123
30-04-2025 09:19:00,190.6,191.8,190.55,191.8,23092
30-04-2025 09:20:00,192.7,192.7,191.3,191.42,32870
30-04-2025 09:21:00,192.19,192.19,191.38,191.38,42667
30-04-2025 09:22:00,191.47,192.83,191.47,192.61,44928
30-04-2025 09:23:00,193.05,193.88,193.05,193.29,46244
30-04-2025 09:24:00,193.11,193.5,192.5,192.64,49180
30-04-2025 09:25:00,192.34,192.34,191.7,191.75,50536
30-04-2025 09:26:00,191.38,191.54,190.55,191.54,52280
30-04-2025 09:27:00,191,191.44,190.55,191.39,53030
30-04-2025 09:28:00,190.81,191.15,190.55,191.15,53662
30-04-2025 09:29:00,191.36,191.67,191.21,191.67,56367
30-04-2025 09:30:00,191.99,191.99,191.29,191.29,56460
30-04-2025 09:31:00,192,192.36,192,192.01,59296
30-04-2025 09:32:00,192.24,192.24,191.97,192.08,60234
30-04-2025 09:33:00,192.24,192.68,192.21,192.68,61926
30-04-2025 09:34:00,192.62,192.62,192.21,192.42,63048
30-04-2025 09:35:00,192,192.02,191.61,191.65,64005
30-04-2025 09:36:00,191.83,191.88,191.57,191.57,64121
30-04-2025 09:37:00,191.99,191.99,191.75,191.75,64389
30-04-2025 09:38:00,191.94,191.94,191.9,191.9,64424
30-04-2025 09:39:00,192.04,192.12,192.01,192.12,64476
30-04-2025 09:40:00,192.09,192.19,191.84,192.19,64819
30-04-2025 09:41:00,191.81,192.08,191.8,191.8,64893
30-04-2025 09:42:00,191.53,191.58,191.36,191.51,65839
30-04-2025 09:43:00,191.41,191.41,190.92,191,67312
30-04-2025 09:44:00,191.03,191.47,191.03,191.47,67965
30-04-2025 09:45:00,191.51,191.96,191.51,191.61,68367
