LocalDateTime,Open,High,Low,Close,Volume
14-02-2025 09:15:00,218.54,219.5,215.74,215.8,19130888
14-02-2025 09:30:00,215.81,217.2,215.12,216.34,44754904
14-02-2025 09:45:00,216.29,216.85,215.5,216.82,60078946
14-02-2025 10:00:00,216.77,218.13,215.36,215.52,77826547
14-02-2025 10:15:00,215.57,216.7,215.5,215.61,93073566
14-02-2025 10:30:00,215.64,216.59,215.05,215.13,101227881
14-02-2025 10:45:00,215.17,215.47,214.37,215.4,117173329
14-02-2025 11:00:00,215.37,216.4,214.5,216.4,140875065
14-02-2025 11:15:00,216.2,216.55,215.67,215.85,154412763
14-02-2025 11:30:00,215.93,217.07,215.26,216.75,165156123
14-02-2025 11:45:00,216.81,218,216.55,218,178376937
14-02-2025 12:00:00,217.99,218,215.82,216.01,194922536
14-02-2025 12:15:00,216.06,217.3,215.6,217,208539303
14-02-2025 12:30:00,217.02,217.1,216.21,216.32,218466374
14-02-2025 12:45:00,216.26,216.83,216.15,216.16,224538000
14-02-2025 13:00:00,216.13,216.27,214.52,215.02,239623874
14-02-2025 13:15:00,215.06,216.3,215,215.37,256769118
14-02-2025 13:30:00,215.36,215.38,214.7,215.05,264183976
14-02-2025 13:45:00,215.01,215.2,213.71,213.93,273117468
14-02-2025 14:00:00,213.89,214.76,213.46,214.3,285921122
14-02-2025 14:15:00,214.26,215.57,214.26,215.15,300386605
14-02-2025 14:30:00,215.19,218.23,215.05,218.04,329722035
14-02-2025 14:45:00,218.05,218.47,216.2,216.4,380522889
14-02-2025 15:00:00,216.66,216.83,215.81,216.04,440804565
14-02-2025 15:15:00,216.03,217.34,215.2,216.44,475878991
